location,sex,band,year,model_prev,model_inc,model_dwell,gbd_prev,gbd_inc,gbd_dwell
Indonesia,Male,15-24,2001,95794.8355599423,11960.0508166668,8.00956760371354,87504.3173967286,11547.5900016568,7.57771252565894
Indonesia,Male,15-24,2002,98513.6209836787,11986.7207012493,8.21856314491512,87675.0026343894,11544.326561728,7.59463985756014
Indonesia,Male,15-24,2003,100482.856306578,11997.8063764764,8.37510234400771,87749.3223972396,11527.0607000492,7.61246294095295
Indonesia,Male,15-24,2004,101649.757943711,11987.7586672015,8.4794631561798,87736.4555714805,11503.0488459077,7.62723489631128
Indonesia,Male,15-24,2005,102012.003158395,11970.0350201974,8.52228109493978,87701.0469170193,11486.190253535,7.63534688013967
Indonesia,Male,15-24,2006,104528.31642458,11928.7519264698,8.7627202802862,87733.7966253977,11475.3225954593,7.64543182952552
Indonesia,Male,15-24,2007,106304.46597558,11866.0174840389,8.95873161476217,87871.227672587,11464.6617948197,7.66452855262519
Indonesia,Male,15-24,2008,107395.62838774,11790.7115259615,9.1084942712125,88145.4450852258,11466.7005053558,7.68708008411444
Indonesia,Male,15-24,2009,108054.750228029,11734.3454526031,9.20841734756143,88614.0263305463,11497.6723511907,7.70712746231364
Indonesia,Male,15-24,2010,108643.026909093,11738.0613446699,9.25561928149453,89337.7158202201,11574.2278181799,7.71867611590426
Indonesia,Male,15-24,2011,111098.684061443,11782.4633035993,9.42915595820316,90379.4633581284,11693.5049568331,7.72903108963194
Indonesia,Male,15-24,2012,113411.94237611,11828.833815684,9.587753462707,91664.5274903552,11832.688422312,7.74672029033659
Indonesia,Male,15-24,2013,115363.690885695,11858.2152795007,9.72858800136007,93055.3341856303,11980.3872831003,7.76730601329521
Indonesia,Male,15-24,2014,116461.822298456,11873.0780673235,9.80889889193742,94462.7869480709,12131.8588169819,7.7863407721036
Indonesia,Male,15-24,2015,116962.569695664,11887.5093608507,9.83911483433686,95821.8376986031,12286.8201392339,7.79874992982338
Indonesia,Male,15-24,2016,118720.428914326,11892.6451139523,9.98267650104557,97008.3907527542,12433.528357533,7.80216105704062
Indonesia,Male,15-24,2017,120054.666610239,11888.8389987307,10.0980984453618,97951.7313268749,12558.4843058321,7.79964595579311
